t_ms,co,no2,temp,rh
1711000,22.6551,0,30.5383,79.8611
1716000,18.0425,10,30.4368,80.0504
1721000,15.8842,0.499919,30.2979,80.293
1726000,10.5768,0.216313,30.3967,80.5753
1731000,9.84493,10,30.5943,80.6256
1736000,15.8842,0,30.7198,80.4395
1741000,18.0425,0,30.7919,80.1694
5658000,5000,0,nan,nan
5664000,5000,0,nan,nan
5670000,1830.35,0,nan,nan
5676000,864.409,0,nan,nan
5682000,682.493,0,nan,nan
5688000,577.3,0,nan,nan
5694000,412.36,0,nan,nan
5700000,313.407,0,nan,nan
5706000,258.198,0,nan,nan
5712000,199.87,0,nan,nan
5718000,170.004,0,nan,nan
5724000,137.052,0,nan,nan
5730000,123.346,0,nan,nan
5736000,113.733,0,nan,nan
5742000,90.7298,0.0187757,nan,nan
5749000,80.5768,0.0187757,nan,nan
5755000,83.0347,0.174297,nan,nan
5761000,71.2627,0.259706,nan,nan
5767000,62.7438,0.174297,nan,nan
5773000,56.8505,0.174297,nan,nan
5779000,54.977,0.448505,nan,nan
5785000,49.7011,0.350906,nan,nan
5791000,45.7374,0.448505,nan,nan
5797000,44.4621,0.448505,nan,nan
5803000,43.2097,0.448505,nan,nan
5809000,41.9797,0.448505,nan,nan
5815000,38.4234,0.448505,nan,nan
5821000,36.162,0.448505,nan,nan
5827000,36.162,0.448505,nan,nan
5834000,35.0636,0.448505,nan,nan
5840000,33.9864,0.545428,nan,nan
5846000,35.0636,0.545428,nan,nan
5852000,33.9864,0.499919,nan,nan
5858000,30.8809,0.595998,nan,nan
5864000,33.9864,0.398864,nan,nan
5870000,30.8809,0.545428,nan,nan
5876000,29.8871,0.545428,nan,nan
5882000,27.0272,0.545428,nan,nan
5888000,27.0272,0.652319,nan,nan
5894000,27.0272,0.652319,nan,nan
5900000,27.0272,0.595998,nan,nan
5906000,28.9137,0.595998,nan,nan
5912000,26.1139,0.652319,nan,nan
5918000,27.0272,0.652319,nan,nan
5925000,27.0272,0.652319,nan,nan
5931000,24.3459,0.652319,nan,nan
5937000,22.6551,0.652319,nan,nan
5943000,23.4909,0.652319,nan,nan
5949000,23.4909,0.652319,nan,nan
5955000,22.6551,0.652319,nan,nan
5961000,24.3459,0.652319,nan,nan
5967000,22.6551,0.715172,nan,nan
5973000,19.2026,0.715172,nan,nan
5979000,21.8381,1.0866,nan,nan
5985000,22.6551,0.652319,nan,nan
5991000,21.0399,0.715172,nan,nan
5997000,21.0399,0.785459,nan,nan
6003000,21.8381,0.785459,nan,nan
6010000,19.2026,0.595998,nan,nan
6016000,19.2026,0.785459,nan,nan
6022000,20.2603,0.652319,nan,nan
6028000,19.2026,0.652319,nan,nan
6034000,19.2026,0.652319,nan,nan
6040000,19.2026,0.715172,nan,nan
6046000,21.0399,0.652319,nan,nan
6052000,19.2026,0.652319,nan,nan
6058000,19.2026,0.715172,nan,nan
6064000,19.2026,0.652319,nan,nan
6070000,18.0425,0.652319,nan,nan
6076000,19.2026,0.785459,nan,nan
6082000,19.2026,0.595998,nan,nan
6088000,19.2026,0.652319,nan,nan
6095000,18.0425,0.652319,nan,nan
6101000,18.0425,0.652319,nan,nan
6107000,18.0425,0.715172,nan,nan
6113000,15.8842,0.652319,nan,nan
6119000,14.8823,0.785459,nan,nan
6125000,18.0425,0.715172,nan,nan
6131000,14.8823,0.545428,nan,nan
6137000,14.8823,0.715172,nan,nan
6143000,18.0425,0.545428,nan,nan
6149000,18.0425,0.652319,nan,nan
6155000,19.2026,1.89703,nan,nan
6161000,15.8842,0.652319,nan,nan
6167000,19.2026,0.715172,nan,nan
6173000,18.0425,0.652319,nan,nan
6179000,14.8823,0.652319,nan,nan
6186000,18.0425,0.715172,nan,nan
6192000,15.8842,0.785459,nan,nan
6198000,14.8823,0.864232,nan,nan
6204000,18.0425,0.785459,nan,nan
6210000,14.8823,0.715172,nan,nan
6216000,14.8823,0.785459,nan,nan
6222000,14.8823,0.715172,nan,nan
6228000,13.9296,0.652319,nan,nan
6234000,14.8823,0.652319,nan,nan
6240000,13.9296,0.785459,nan,nan
6246000,15.8842,0.652319,nan,nan
6246000,15.8842,0.652319,nan,nan
6252000,18.0425,0.715172,nan,nan
6258000,18.0425,0.715172,nan,nan
6264000,18.0425,0.652319,nan,nan
6271000,14.8823,0.652319,nan,nan
6277000,22.6551,0.595998,nan,nan
6283000,14.8823,0.652319,nan,nan
6289000,18.0425,0.715172,nan,nan
6295000,14.8823,0.652319,nan,nan
6301000,10.5768,0.652319,nan,nan
6307000,20.2603,0.652319,nan,nan
6313000,15.8842,0.785459,nan,nan
6319000,14.8823,0.715172,nan,nan
6325000,10.5768,0.785459,nan,nan
6331000,14.8823,0.715172,nan,nan
6337000,13.0243,0.652319,nan,nan
6343000,8.49805,0.715172,nan,nan
6349000,14.8823,0.652319,nan,nan
6356000,14.8823,0.652319,nan,nan
6362000,13.0243,0.715172,nan,nan
6368000,13.0243,0.785459,nan,nan
6374000,14.8823,0.652319,nan,nan
6380000,14.8823,0.652319,nan,nan
6386000,10.5768,0.652319,nan,nan
6392000,9.84493,0.785459,nan,nan
6398000,14.8823,0.652319,nan,nan
6404000,14.8823,0.652319,nan,nan
6410000,14.8823,0.652319,nan,nan
6416000,10.5768,0.652319,nan,nan
6422000,15.8842,0.545428,nan,nan
6428000,13.9296,0.652319,nan,nan
6434000,13.9296,0.652319,nan,nan
6440000,14.8823,0.715172,nan,nan
6447000,14.8823,0.715172,nan,nan
6453000,14.8823,0.715172,nan,nan
6459000,10.5768,0.652319,nan,nan
6465000,10.5768,0.652319,nan,nan
6471000,9.84493,0.785459,nan,nan
6477000,13.0243,0.785459,nan,nan
6483000,10.5768,0.785459,nan,nan
6489000,10.5768,0.785459,nan,nan
6495000,14.8823,0.715172,nan,nan
6501000,10.5768,0.785459,nan,nan
6507000,10.5768,0.785459,nan,nan
6513000,14.8823,0.652319,nan,nan
6519000,14.8823,0.545428,nan,nan
6525000,10.5768,0.785459,nan,nan
6532000,14.8823,0.715172,nan,nan
6538000,14.8823,0.652319,nan,nan
6544000,13.9296,0.785459,nan,nan
6550000,10.5768,0.715172,nan,nan
6556000,10.5768,0.715172,nan,nan
6562000,14.8823,0.652319,nan,nan
6568000,15.8842,0.652319,nan,nan
6574000,13.9296,0.652319,nan,nan
6580000,13.9296,0.785459,nan,nan
6586000,10.5768,0.715172,nan,nan
6592000,9.15254,0.785459,nan,nan
6598000,10.5768,0.715172,nan,nan
6604000,10.5768,0.545428,nan,nan
6610000,13.0243,0.715172,nan,nan
6617000,9.84493,0.715172,nan,nan
6623000,9.84493,0.652319,nan,nan
6629000,10.5768,0.785459,nan,nan
6635000,10.5768,0.652319,nan,nan
6641000,9.15254,0.785459,nan,nan
6647000,9.15254,0.652319,nan,nan
6653000,9.15254,0.652319,nan,nan
6659000,10.5768,0.785459,nan,nan
6665000,10.5768,0.715172,nan,nan
6671000,10.5768,0.652319,nan,nan
6677000,7.29697,0.785459,nan,nan
6683000,13.0243,0.652319,nan,nan
6689000,9.84493,0.652319,nan,nan
6695000,10.5768,0.652319,nan,nan
6702000,9.15254,0.785459,nan,nan
6708000,9.15254,0.715172,nan,nan
6714000,8.49805,1.02817,nan,nan
6720000,7.29697,0.785459,nan,nan
6726000,9.15254,0.785459,nan,nan
6732000,8.49805,0.652319,nan,nan
6738000,9.84493,0.715172,nan,nan
6744000,10.5768,0.715172,nan,nan
6750000,9.15254,0.652319,nan,nan
6756000,10.5768,0.448505,nan,nan
6762000,14.8823,0.652319,nan,nan
6768000,14.8823,0.652319,nan,nan
6774000,14.8823,0.652319,nan,nan
6779000,13.0243,0.715172,nan,nan
6784000,14.8823,0.652319,nan,nan
6789000,14.8823,0.652319,nan,nan
6794000,10.5768,0.595998,nan,nan
6799000,9.84493,0.595998,nan,nan
6804000,10.5768,0.785459,nan,nan
6809000,13.9296,0.785459,nan,nan
6814000,10.5768,0.545428,nan,nan
6819000,18.0425,0.652319,nan,nan
6824000,15.8842,0.715172,nan,nan
6829000,14.8823,0.448505,nan,nan
6834000,10.5768,0.174297,nan,nan
6839000,18.0425,0.545428,nan,nan
6844000,14.8823,0.545428,nan,nan
6849000,10.5768,0.652319,nan,nan
6854000,6.23033,0.785459,nan,nan
6859000,0,0.864232,nan,nan
6864000,0,1.0866,nan,nan
6869000,0,1.0866,nan,nan
6874000,0,1.0866,nan,nan
6879000,0,1.0866,nan,nan
6884000,0,1.21797,nan,nan
6889000,0,1.0866,nan,nan
6894000,0,1.14971,nan,nan
6899000,0,1.37221,nan,nan
6904000,0,1.29193,nan,nan
6910000,0,1.0866,nan,nan
6915000,0,1.0866,nan,nan
6920000,0,0.545428,nan,nan
6925000,0,1.0866,nan,nan
6930000,0,1.02817,nan,nan
6935000,0,1.0866,nan,nan
6940000,0,1.45953,nan,nan
6945000,0,1.45953,nan,nan
6950000,0,1.37221,nan,nan
6955000,0,1.45953,nan,nan
6960000,0,1.37221,nan,nan
6965000,0,1.37221,nan,nan
6970000,0,1.37221,nan,nan
6975000,0,1.0866,nan,nan
6980000,0,1.37221,nan,nan
6985000,0,1.0866,nan,nan
6990000,0,1.37221,nan,nan
6995000,0,1.37221,nan,nan
7000000,0,1.37221,nan,nan
7005000,0,1.21797,nan,nan
7010000,0,1.45953,nan,nan
7015000,0,1.14971,nan,nan
7020000,0,1.37221,nan,nan
7025000,0,1.45953,nan,nan
7030000,0,1.37221,nan,nan
7035000,0,1.37221,nan,nan
7040000,0,1.37221,nan,nan
7045000,0,1.37221,nan,nan
7050000,0,1.37221,nan,nan
7055000,0,1.45953,nan,nan
7060000,0,1.37221,nan,nan
7065000,0,1.37221,nan,nan
7070000,0,1.37221,nan,nan
7075000,0,1.29193,nan,nan
7119000,0,1.45953,30.1724,79.6551
7124000,0,1.14971,30.1724,79.7253
7129000,0,1.37221,30.1297,79.7253
7134000,0,1.45953,30.1297,79.8077
7139000,0,1.37221,30.1297,79.8199
7144000,0,1.37221,30.1431,79.8749
7149000,0,1.37221,30.1591,79.8581
7154000,0,1.55468,30.1431,79.7925
7159000,0,1.37221,30.1297,79.7986
7164000,0,1.37221,30.1858,79.8535
7169000,0,0.864232,30.1724,79.8398
7174000,0,1.21797,30.1858,79.8428
7179000,0,1.29193,30.1991,79.826
7184000,0,1.14971,30.2285,79.8245
7190000,421.556,0,30.2846,79.7238
7195000,30.8809,0.0187757,30.3407,79.6689
7208000,20.2603,0.174297,30.4368,79.8245
7213000,19.2026,0.652319,30.4662,79.8627
7218000,19.2026,0.864232,30.4528,79.5514
7223000,19.2026,1.45953,30.3674,79.3256
7228000,14.8823,1.89703,30.2686,79.2996
7233000,18.0425,2.38679,30.2552,79.3774
7238000,14.8823,1.7723,30.1858,79.4858
7243000,13.9296,2.68477,30.1858,79.556
7248000,10.5768,3.44769,30.1991,79.6735
7253000,10.5768,3.44769,30.2552,79.7162
7258000,14.8823,3.44769,30.2419,79.6109
7263000,14.8823,3.9461,30.2552,79.6368
7268000,13.0243,3.44769,30.2686,79.6384
7274000,14.8823,2.68477,30.2686,79.6918
7279000,14.8823,2.38679,30.3246,79.7345
7284000,10.5768,3.44769,30.2686,79.5773
7289000,10.5768,4.20369,30.2419,79.5407
7294000,13.9296,3.9461,30.2686,79.5468
7299000,9.15254,4.20369,30.2979,79.501
7304000,10.5768,4.4806,30.2686,79.4858
7309000,10.5768,4.4806,30.2552,79.5102
7314000,9.15254,4.78864,30.2285,79.4965
7319000,9.15254,4.78864,30.2152,79.5422
7324000,9.84493,10,30.1591,79.5697
7329000,6.23033,5.55066,30.1591,79.5911
7334000,10.5768,5.55066,30.1431,79.6887
7339000,9.84493,5.55066,30.1724,79.7162
7344000,10.5768,4.20369,30.2285,79.7833
7350000,9.15254,3.9461,30.2686,79.7711
7355000,9.84493,4.20369,30.2686,79.6918
7360000,10.5768,2.68477,30.2686,79.5972
7365000,9.15254,5.14056,30.2686,79.5056
7370000,9.15254,5.55066,30.2419,79.4873
7375000,10.5768,5.55066,30.1991,79.5285
7380000,7.88001,6.47345,30.1858,79.5972
7385000,9.84493,6.01378,30.1297,79.6551
7390000,7.88001,5.55066,30.1724,79.707
7395000,7.88001,6.99589,30.1431,79.7101
7400000,7.29697,10,30.1164,79.7559
7405000,9.15254,7.71603,30.1591,79.8474
7410000,9.84493,6.99589,30.103,79.8016
7415000,9.84493,7.71603,30.103,79.852
7421000,8.49805,6.47345,30.087,79.8703
7426000,8.49805,6.47345,30.0736,79.8856
7431000,7.88001,7.71603,30.0736,79.9481
7436000,9.15254,7.71603,30.0736,80
7441000,7.88001,7.71603,30.0309,80.0092
7446000,6.74754,6.99589,30.0603,80.0687
7451000,7.88001,6.47345,30.0603,80.0366
7456000,8.49805,7.71603,30.0469,79.9817
7461000,8.49805,9.89876,30.0736,80.0397
7466000,7.88001,9.89876,30.0736,80.0916
7471000,8.49805,10,30.087,80.0763
7476000,8.49805,7.71603,30.0736,80.0397
7481000,8.49805,7.71603,30.0736,80.0809
7486000,9.15254,7.71603,30.103,80.0809
7492000,7.88001,9.89876,30.103,80.0366
7534000,7.88001,10,30.0042,80.1358
7539000,9.15254,6.99589,30.087,80.3418
7544000,6.74754,6.01378,30.1591,80.4212
7549000,9.15254,4.78864,30.1991,80.3388
7554000,10.5768,4.4806,30.2285,80.1831
7559000,28.9137,4.78864,30.2419,80.1236
7564000,0,4.20369,30.2846,79.9298
7569000,20.2603,3.9461,30.3113,79.8123
7574000,10.5768,4.78864,30.4101,79.8489
7579000,9.15254,3.68391,30.4368,79.7421
7584000,80.5768,2.68477,30.4368,79.8245
7590000,9.84493,4.4806,30.4234,79.5239
7595000,10.5768,6.01378,30.3674,79.3027
7600000,8.49805,7.71603,30.3113,79.2706
7605000,7.88001,7.71603,30.2846,79.3256
7610000,14.8823,7.71603,30.2686,79.3713
7615000,8.49805,9.89876,30.2419,79.4369
7620000,9.15254,10,30.2152,79.501
7625000,7.29697,10,30.2152,79.5422
7630000,9.15254,9.89876,30.1858,79.6292
7635000,7.88001,9.89876,30.1724,79.707
7640000,7.88001,10,30.1591,79.7559
7645000,7.88001,10,30.1164,79.7742
7650000,8.49805,10,30.1164,79.8032
7656000,7.88001,10,30.087,79.8703
7661000,7.88001,10,30.1297,79.9435
7666000,9.15254,6.99589,30.1858,80.09
7671000,9.84493,6.47345,30.2419,80.0229
7676000,10.5768,5.14056,30.2552,79.8901
7681000,14.8823,4.20369,30.3407,79.7604
7686000,13.0243,4.20369,30.3807,79.5956
7691000,13.0243,3.44769,30.4234,79.4919
7696000,13.0243,3.44769,30.4101,79.3454
7701000,14.8823,2.68477,30.4662,79.2355
7706000,18.0425,2.68477,30.5116,79.1241
7711000,13.9296,2.68477,30.5383,78.9975
7716000,13.9296,2.68477,30.581,78.9242
7722000,18.0425,2.38679,30.6237,78.8006
7727000,13.9296,2.68477,30.6077,78.7365
7732000,14.8823,2.38679,30.6504,78.6542
7737000,13.9296,2.38679,30.6931,78.5931
7742000,14.8823,2.38679,30.7492,78.4833
7747000,13.0243,2.38679,30.7919,78.3185
7752000,10.5768,2.38679,30.832,78.1125
7757000,13.9296,2.8553,30.8747,78.0301
7762000,15.8842,2.25617,30.9174,77.8561
7767000,13.9296,2.13605,30.9174,77.7737
7772000,19.2026,2.38679,31.0002,77.6791
7777000,15.8842,2.13605,31.0002,77.5357
7782000,13.0243,2.13605,31.043,77.4533
7788000,14.8823,3.9461,31.0163,77.3434
7793000,20.2603,2.02533,31.0163,77.2931
7798000,14.8823,2.13605,31.0296,77.2854
7803000,18.0425,2.13605,31.059,77.2076
7808000,14.8823,2.13605,31.0884,77.1237
7813000,13.0243,2.13605,31.0884,77.0611
7818000,13.9296,2.38679,31.059,77.116
7823000,13.0243,2.38679,31.043,77.0825
7828000,15.8842,2.13605,31.0296,77.0977
7833000,14.8823,2.38679,31.0884,77.1237
7838000,0,2.13605,31.0884,77.052
7843000,14.8823,2.38679,31.1151,77.0062
7848000,14.8823,2.25617,31.0884,76.9696
7854000,14.8823,2.13605,31.1151,76.9131
7859000,14.8823,2.02533,31.1151,76.8811
7864000,13.9296,2.13605,31.1578,76.8917
7869000,14.8823,2.13605,31.2005,77.6455
7874000,13.9296,2.38679,31.2139,77.5357
7879000,14.8823,2.13605,31.2272,77.4762
7884000,13.9296,2.13605,31.2139,77.3907
7889000,14.8823,2.13605,31.2005,77.0565
7894000,15.8842,2.25617,31.2272,76.817
7899000,12.1649,2.13605,31.2699,76.672
7904000,9.15254,2.25617,31.2699,76.5377
7909000,10.5768,2.13605,31.2833,76.466
7915000,13.9296,2.13605,31.2966,76.405
7920000,14.8823,2.38679,31.2966,76.3317
7925000,10.5768,2.13605,31.3687,76.318
7930000,14.8823,2.13605,31.3954,76.26
7935000,14.8823,2.02533,31.3954,76.1547
7940000,13.9296,2.02533,31.4088,76.0525
7945000,15.8842,1.89703,31.4382,76.0296
7950000,14.8823,2.02533,31.4382,76.0067
7955000,13.9296,2.13605,31.4649,75.9304
7960000,14.8823,2.13605,31.4649,75.9197
7965000,9.84493,2.13605,31.4382,75.9014
7970000,18.0425,1.89703,31.4809,75.8602
7975000,14.8823,2.13605,31.4942,75.8297
7981000,14.8823,2.02533,31.4809,75.7336
7986000,14.8823,2.02533,31.537,75.7458
7991000,14.8823,1.89703,31.5076,75.697
7996000,13.9296,2.02533,31.537,75.6405
8001000,10.5768,2.02533,31.5209,75.6588
8006000,14.8823,2.02533,31.537,75.6512
8011000,14.8823,1.89703,31.537,75.61
8016000,14.8823,2.02533,31.5503,75.6359
8021000,14.8823,2.02533,31.537,75.6222
8026000,14.8823,1.89703,31.537,75.6222
8031000,14.8823,2.13605,31.5663,75.5444
8036000,14.8823,2.02533,31.5503,75.5184
8041000,13.9296,2.02533,31.5797,75.4711
8047000,13.0243,3.9461,31.5797,75.4711
8052000,10.5768,2.02533,31.5503,75.4543
8057000,14.8823,2.13605,31.5663,75.4391
8062000,14.8823,2.02533,31.5663,75.4162
8067000,14.8823,2.02533,31.5663,75.4482
8072000,14.8823,2.13605,31.5957,75.4223
8077000,14.8823,2.13605,31.5797,75.4299
8082000,14.8823,1.89703,31.5797,75.3765
8087000,14.8823,2.13605,31.5797,75.3887
8092000,13.0243,1.89703,31.5797,75.4086
8097000,14.8823,1.89703,31.6091,75.4253
8102000,14.8823,2.02533,31.6358,75.3582
8108000,19.2026,1.89703,31.6651,75.3338
8113000,14.8823,1.89703,31.6785,75.2743
8118000,14.8823,1.89703,31.6918,75.2148
8123000,18.0425,2.02533,31.6785,75.1369
8128000,15.8842,1.89703,31.6918,75.1293
8133000,18.0425,2.02533,31.7079,75.111
8138000,14.8823,1.65858,31.6785,75.1156
8143000,15.8842,1.89703,31.7212,75.1247
8148000,14.8823,1.7723,31.7639,75.1247
8195000,19.2026,2.38679,31.8467,75.9121
8200000,15.8842,0,31.8761,75.9716
8205000,13.0243,1.89703,31.8601,75.642
8210000,18.0425,1.65858,31.8334,75.2575
8215000,14.8823,1.55468,31.8601,74.9706
8221000,15.8842,1.55468,32.0871,76.6857
8226000,14.8823,2.13605,32.1031,79.321
8231000,18.0425,1.37221,32.031,77.9065
8236000,18.0425,1.55468,31.9722,76.3012
8241000,13.9296,1.55468,31.9589,75.3811
8246000,13.0243,1.65858,31.9883,74.9249
8251000,18.0425,1.45953,32.0016,74.696
8256000,14.8823,1.65858,31.9455,74.5678
8261000,14.8823,1.55468,31.9322,74.49
8266000,15.8842,1.65858,31.9322,74.4686
8271000,14.8823,1.7723,31.9322,74.4488
8276000,14.8823,1.89703,31.82,74.4961
8282000,18.0425,1.89703,31.804,74.6288
8287000,14.8823,1.65858,31.7773,74.6456
8292000,18.0425,1.7723,31.804,74.7021
8297000,15.8842,1.7723,31.82,74.6746
8302000,10.5768,1.65858,31.7906,74.7234
8307000,14.8823,1.65858,31.804,74.6822
8312000,15.8842,1.65858,31.82,74.8333
8317000,13.0243,1.89703,31.7773,75.0454
8322000,18.0425,1.7723,31.6785,75.0515
8327000,13.9296,1.7723,31.6358,75.0637
8332000,14.8823,1.7723,31.6358,75.2331
8337000,15.8842,1.65858,31.6651,75.1873
8343000,14.8823,1.89703,31.7079,75.1339
8348000,14.8823,1.7723,31.7212,75.0637
8353000,14.8823,1.65858,31.7212,75.0423
8358000,18.0425,1.7723,31.7346,75.024
8363000,14.8823,1.45953,31.7479,74.9859
8368000,14.8823,1.65858,31.7773,74.9172
8373000,15.8842,1.7723,31.7639,74.8531
8378000,18.0425,1.89703,31.7773,74.8241
8383000,13.0243,1.7723,31.7906,74.7936
8427000,14.8823,1.7723,31.7479,76.1852
8432000,18.0425,1.65858,31.7212,75.9472
8437000,10.5768,2.02533,31.6651,75.819
8442000,15.8842,1.65858,31.6785,75.5047
8447000,10.5768,1.65858,31.6918,75.2972
8452000,15.8842,1.65858,31.7079,75.1965
8457000,18.0425,1.65858,31.7212,75.1247
8462000,18.0425,1.65858,31.7212,75.0423
8467000,18.0425,1.65858,31.6785,75.0103
8472000,15.8842,1.65858,31.7346,74.9722
8477000,14.8823,1.65858,31.7346,74.9294
8482000,14.8823,1.7723,31.7212,74.8943
8488000,14.8823,1.89703,31.7212,74.9035
8493000,15.8842,1.7723,31.7346,74.8989
8498000,18.0425,1.21797,31.804,74.8516
8503000,26.1139,1.65858,31.804,74.7875
8508000,18.0425,1.65858,31.82,74.7921
8513000,14.8823,2.13605,31.82,74.6838
8518000,18.0425,1.89703,31.7906,74.6777
8523000,15.8842,1.7723,31.804,74.6731
8528000,10.5768,1.89703,31.7906,74.6471
8533000,13.9296,1.89703,31.7773,74.6548
8538000,15.8842,1.89703,31.7346,74.6868
8578000,13.9296,1.89703,31.7079,77.4899
8583000,14.8823,2.68477,31.7079,77.5906
8588000,14.8823,1.89703,31.6651,76.6293
8593000,13.9296,1.89703,31.6651,75.9243
8598000,14.8823,3.9461,31.6651,75.5322
8603000,19.2026,1.89703,31.6918,75.3491
8608000,13.0243,1.89703,31.7212,75.198
8613000,19.2026,1.65858,31.7212,75.0957
8618000,14.8823,1.89703,31.6918,74.9722
8623000,10.5768,9.89876,31.7079,76.2173
8628000,14.8823,1.89703,31.6918,75.9808
8634000,18.0425,1.89703,31.6918,75.4986
8639000,13.0243,1.89703,31.7212,75.2743
8644000,13.9296,1.89703,31.7639,75.0729
8649000,14.8823,1.65858,31.7773,74.9935
8654000,15.8842,1.65858,31.7773,74.8852
8659000,18.0425,1.7723,31.7346,74.8348
8664000,18.0425,2.25617,31.7773,74.7921
8669000,13.9296,1.89703,31.7479,74.7646
8674000,13.9296,1.89703,31.7479,74.7204
8679000,13.0243,1.89703,31.7639,74.757
8684000,14.8823,1.89703,31.7346,74.7829
8689000,9.84493,1.89703,31.7346,74.7616
8695000,14.8823,2.02533,31.7639,74.7463
8700000,14.8823,1.89703,31.7346,74.7829
8705000,13.0243,1.89703,31.7346,74.8028
8710000,18.0425,1.7723,31.7346,74.8348
8715000,14.8823,1.65858,31.7906,74.8257
8720000,18.0425,1.7723,31.7639,74.7372
8725000,7.29697,1.89703,31.7773,74.728
8730000,14.8823,2.02533,31.7639,74.7051
8735000,14.8823,1.89703,31.7479,74.7204
8740000,14.8823,1.7723,31.7773,74.7387
8745000,18.0425,1.65858,31.7773,74.7387
8750000,15.8842,1.7723,31.7639,74.6838
8755000,15.8842,1.7723,31.7906,74.6777
8761000,13.9296,1.89703,31.7906,74.6685
8766000,18.0425,1.65858,31.7906,74.6593
8771000,14.8823,3.9461,31.7906,74.6471
8776000,15.8842,2.13605,31.804,75.5871
8781000,15.8842,1.0866,31.7773,76.2325
8786000,23.4909,0.545428,31.804,76.4614
8791000,13.9296,1.45953,31.82,76.5927
8796000,14.8823,1.7723,31.7906,75.816
8801000,14.8823,1.7723,31.7906,75.2667
8806000,14.8823,1.65858,31.82,75.0225
8811000,19.2026,1.7723,31.7906,74.8577
8817000,18.0425,1.55468,31.804,74.7662
8822000,18.0425,1.89703,31.82,74.6746
8827000,13.9296,1.7723,31.8334,74.6365
8832000,14.8823,1.7723,31.8601,74.5998
8837000,14.8823,1.7723,31.8601,74.5495
8842000,15.8842,1.7723,31.8761,74.4991
8847000,18.0425,1.7723,31.8894,74.5037
8852000,14.8823,1.55468,31.8467,74.4594
8857000,15.8842,1.65858,31.8601,74.4442
8862000,7.88001,1.65858,31.9028,74.4091
8867000,15.8842,1.65858,31.9028,74.3999
8872000,14.8823,1.89703,31.8761,74.3618
8877000,9.15254,2.25617,31.8334,74.3954
8883000,14.8823,1.7723,31.8334,74.3847
8888000,13.9296,1.65858,31.8334,74.4137
8893000,18.0425,1.89703,31.8467,74.4488
8898000,14.8823,1.7723,31.8601,74.4732
8903000,18.0425,1.55468,31.8467,74.4594
8908000,14.8823,2.02533,31.8334,74.4671
8913000,10.5768,4.78864,31.8334,74.4366
8918000,14.8823,1.65858,31.8334,74.4579
8923000,13.9296,1.65858,31.8334,74.4778
8928000,14.8823,1.7723,31.8601,74.4732
8933000,15.8842,1.65858,31.8334,74.4671
8938000,18.0425,1.7723,31.8467,74.4594
8944000,7.88001,1.65858,31.8467,74.4594
8949000,18.0425,1.7723,31.8467,74.4396
8954000,15.8842,1.89703,31.8467,74.4274
8959000,15.8842,1.89703,31.8601,74.4213
8964000,14.8823,1.7723,31.8467,74.4183
8969000,15.8842,1.7723,31.8601,74.4625
8974000,18.0425,1.65858,31.8761,74.435
8979000,14.8823,1.7723,31.8761,74.4549
8984000,14.8823,1.65858,31.8761,74.4259
8989000,14.8823,1.65858,31.9162,74.4137
